iteration,w,b,cost
0,0.5,0.5,0.0520833
1,0.53125,0.4375,0.0467529
2,0.576172,0.410156,0.0432455
3,0.61731,0.386475,0.0403872
4,0.654472,0.365128,0.0380571
5,0.688027,0.345855,0.0361575
6,0.718323,0.328454,0.034609
7,0.745677,0.312742,0.0333467
8,0.770375,0.298557,0.0323176
9,0.792674,0.285749,0.0314787
10,0.812807,0.274185,0.0307948
11,0.830986,0.263743,0.0302373
12,0.847399,0.254316,0.0297828
13,0.862218,0.245804,0.0294123
14,0.875598,0.238119,0.0291102
15,0.887679,0.23118,0.028864
16,0.898587,0.224915,0.0286633
17,0.908435,0.219259,0.0284996
18,0.917327,0.214152,0.0283662
19,0.925356,0.20954,0.0282575
20,0.932604,0.205377,0.0281689
21,0.939149,0.201618,0.0280966
22,0.945059,0.198223,0.0280377
23,0.950394,0.195159,0.0279896
24,0.955211,0.192392,0.0279505
25,0.959561,0.189894,0.0279186
26,0.963488,0.187638,0.0278926
27,0.967034,0.185602,0.0278713
28,0.970235,0.183763,0.0278541
29,0.973126,0.182103,0.02784
30,0.975735,0.180604,0.0278285
31,0.978092,0.17925,0.0278191
32,0.980219,0.178028,0.0278115
33,0.98214,0.176925,0.0278052
34,0.983875,0.175929,0.0278002
35,0.985441,0.175029,0.027796
36,0.986854,0.174217,0.0277927
37,0.988131,0.173484,0.0277899
38,0.989284,0.172822,0.0277877
39,0.990324,0.172224,0.0277858
40,0.991264,0.171684,0.0277843
41,0.992112,0.171197,0.0277831
42,0.992878,0.170757,0.0277821
43,0.99357,0.17036,0.0277813
44,0.994194,0.170001,0.0277807
45,0.994758,0.169677,0.0277801
46,0.995267,0.169385,0.0277797
47,0.995727,0.169121,0.0277793
48,0.996142,0.168883,0.0277791
49,0.996516,0.168668,0.0277788
50,0.996855,0.168473,0.0277786
51,0.99716,0.168298,0.0277785
52,0.997436,0.168139,0.0277783
53,0.997685,0.167996,0.0277782
54,0.99791,0.167867,0.0277782
55,0.998113,0.167751,0.0277781
56,0.998296,0.167645,0.027778
57,0.998461,0.16755,0.027778
58,0.998611,0.167465,0.0277779
59,0.998746,0.167387,0.0277779
60,0.998868,0.167317,0.0277779
61,0.998978,0.167254,0.0277779
62,0.999077,0.167197,0.0277779
63,0.999166,0.167145,0.0277778
64,0.999247,0.167099,0.0277778
