iteration,w,b,cost
0,0.5,0.5,0.0520833
1,0.5,0.486111,0.0510224
2,0.503665,0.493441,0.0513964
3,0.503665,0.479735,0.0504128
4,0.507393,0.487191,0.0507539
5,0.507393,0.473658,0.0498411
6,0.507393,0.460501,0.0491291
7,0.508285,0.461393,0.0491205
8,0.508285,0.448576,0.0485763
9,0.509483,0.449775,0.0485446
10,0.509483,0.437281,0.0481498
11,0.513761,0.445836,0.0481299
12,0.514883,0.446958,0.0481012
13,0.515943,0.448018,0.0480768
14,0.515943,0.435573,0.0476649
15,0.5202,0.444086,0.0476656
16,0.524308,0.452303,0.0477766
17,0.524308,0.439739,0.0472551
18,0.524308,0.427524,0.0468994
19,0.524308,0.415648,0.0466967
20,0.528783,0.424598,0.0465307
21,0.530078,0.425893,0.0464744
22,0.531301,0.427116,0.0464249
23,0.532456,0.428271,0.0463815
24,0.532456,0.416375,0.0461212
25,0.533877,0.417796,0.0460469
26,0.53522,0.419139,0.0459811
27,0.53522,0.407496,0.0458151
28,0.536811,0.409087,0.045715
29,0.54129,0.418046,0.0455549
30,0.545614,0.426693,0.0455223
31,0.549788,0.43504,0.0456047
32,0.549788,0.422956,0.0451549
33,0.550545,0.423713,0.0451342
34,0.554726,0.432074,0.0452149
35,0.558761,0.440146,0.0453992
36,0.562657,0.447937,0.0456761
37,0.566417,0.455457,0.0460359
38,0.566417,0.442805,0.045205
39,0.570222,0.450416,0.0455411
40,0.569649,0.449843,0.0455233
41,0.573334,0.457213,0.0459291
42,0.576891,0.464328,0.0464034
43,0.580325,0.471195,0.0469382
44,0.578894,0.469764,0.0468375
45,0.582238,0.476453,0.0474124
46,0.580608,0.474822,0.0472824
47,0.580608,0.461633,0.0460707
48,0.579435,0.460459,0.0460043
49,0.578326,0.459351,0.0459447
50,0.581819,0.466337,0.0464531
51,0.580482,0.464999,0.0463667
52,0.579218,0.463736,0.0462891
53,0.579218,0.450854,0.0452555
54,0.582823,0.458064,0.0457095
55,0.586302,0.465023,0.0462267
56,0.589661,0.47174,0.0467997
57,0.587956,0.470034,0.0466642
58,0.591233,0.47659,0.0472713
59,0.591233,0.463351,0.0459617
60,0.594581,0.470046,0.0465421
61,0.594581,0.45699,0.0453129
62,0.597994,0.463815,0.0458672
63,0.601288,0.470404,0.0464731
64,0.604468,0.476764,0.047124
65,0.602211,0.474507,0.0468987
66,0.60008,0.472376,0.0466972
67,0.60008,0.459254,0.0453957
68,0.603423,0.465941,0.0459829
69,0.601497,0.464014,0.0458229
70,0.599677,0.462194,0.04568
71,0.599677,0.449355,0.044538
72,0.599677,0.436873,0.0435858
73,0.598662,0.435858,0.0435481
74,0.598662,0.423751,0.0427918
75,0.602508,0.431443,0.0431245
76,0.602508,0.419459,0.0424049
77,0.601898,0.418848,0.0423963
78,0.605789,0.426632,0.0427036
79,0.605789,0.414781,0.0420289
80,0.605218,0.41421,0.0420231
81,0.604678,0.41367,0.0420184
82,0.608623,0.421559,0.042295
83,0.607784,0.42072,0.0422761
84,0.607784,0.409033,0.0416672
85,0.607784,0.397671,0.0412061
86,0.607633,0.39752,0.0412081
87,0.611781,0.405816,0.0413516
88,0.611781,0.394543,0.0409074
89,0.611781,0.383584,0.0405974
90,0.611781,0.372929,0.0404111
91,0.616242,0.38185,0.0403219
92,0.616242,0.371244,0.0401309
93,0.616242,0.360931,0.0400532
94,0.616876,0.361565,0.0400154
95,0.616876,0.351522,0.0400323
96,0.617753,0.3524,0.0399683
97,0.622458,0.361809,0.0396762
98,0.622458,0.351758,0.0396627
99,0.623174,0.352475,0.0396143
100,0.62784,0.361806,0.0393607
101,0.632344,0.370814,0.0392485
102,0.632344,0.360513,0.0390922
103,0.632344,0.350499,0.039042
104,0.636973,0.359758,0.0388272
105,0.636973,0.349765,0.0387614
106,0.636973,0.340049,0.0387932
107,0.636973,0.330604,0.0389146
108,0.637874,0.331504,0.0388373
109,0.642729,0.341214,0.038423
110,0.647415,0.350587,0.0381665
111,0.647415,0.340848,0.0381397
112,0.652074,0.350166,0.0379109
113,0.656572,0.359161,0.0378223
114,0.660913,0.367843,0.0378598
115,0.660114,0.367044,0.0378678
116,0.664321,0.375458,0.0380063
117,0.663216,0.374353,0.0380018
118,0.662172,0.373309,0.0380001
119,0.666278,0.381521,0.0382103
120,0.670241,0.389447,0.0385158
121,0.670241,0.378629,0.0379479
122,0.668883,0.377271,0.0379289
123,0.668883,0.366791,0.0375117
124,0.667892,0.3658,0.0375162
125,0.672063,0.374141,0.0376861
126,0.676088,0.382192,0.0379558
127,0.674469,0.380573,0.0379163
128,0.678388,0.388411,0.0382541
129,0.682172,0.395978,0.0386736
130,0.680001,0.393807,0.038565
131,0.683698,0.401201,0.0390323
132,0.687267,0.408339,0.0395665
133,0.687267,0.396996,0.0386632
134,0.690869,0.404201,0.0391832
135,0.694346,0.411155,0.0397641
136,0.691416,0.408225,0.0395208
137,0.691416,0.396885,0.0385955
138,0.688963,0.394432,0.0384496
139,0.686646,0.392116,0.0383251
140,0.686646,0.381224,0.0376354
141,0.684761,0.379338,0.0375745
142,0.682981,0.377558,0.0375248
143,0.686883,0.385362,0.0378785
144,0.684876,0.383355,0.037801
145,0.688684,0.390972,0.0382105
146,0.688684,0.380112,0.0375239
147,0.686773,0.378201,0.0374618
148,0.684969,0.376396,0.0374113
149,0.683264,0.374691,0.0373708
150,0.681654,0.373082,0.037339
151,0.681654,0.362718,0.0369031
152,0.681654,0.352643,0.0365823
153,0.681654,0.342847,0.0363677
154,0.680973,0.342166,0.0363871
155,0.680973,0.332662,0.0362803
156,0.680595,0.332283,0.0362969
157,0.680595,0.323053,0.0362849
158,0.680595,0.314079,0.0363549
159,0.680743,0.314227,0.0363444
160,0.680882,0.314367,0.0363344
161,0.680882,0.305635,0.0364761
162,0.680882,0.297145,0.036687
163,0.681493,0.297755,0.0366283
164,0.681493,0.289484,0.0368955
165,0.686628,0.299755,0.0362397
166,0.686628,0.291429,0.0364708
167,0.686628,0.283334,0.036762
168,0.686628,0.275463,0.0371079
169,0.686628,0.267812,0.0375037
170,0.692029,0.278614,0.0365652
171,0.692029,0.270874,0.0369205
172,0.69306,0.271905,0.036792
173,0.694033,0.272878,0.0366729
174,0.694952,0.273797,0.0365626
175,0.694952,0.266192,0.0369367
176,0.694952,0.258797,0.037356
177,0.696237,0.260082,0.0371762
178,0.69745,0.261296,0.0370102
179,0.69745,0.254037,0.0374477
180,0.698798,0.255385,0.0372527
181,0.700071,0.256658,0.0370727
182,0.701273,0.25786,0.0369062
183,0.70671,0.268735,0.0359396
184,0.707392,0.269417,0.0358612
185,0.707392,0.261933,0.0362151
186,0.708244,0.262785,0.0361092
187,0.713565,0.273427,0.0352794
188,0.713565,0.265831,0.0355852
189,0.714137,0.266404,0.0355204
190,0.719367,0.276863,0.0347943
191,0.719367,0.269172,0.0350555
192,0.724522,0.279482,0.0344124
193,0.729498,0.289433,0.0339533
194,0.729498,0.281393,0.034086
195,0.734412,0.291223,0.0336898
196,0.734412,0.283133,0.0337891
197,0.733925,0.282646,0.0338229
198,0.738791,0.292379,0.0334756
199,0.738791,0.284257,0.0335483
200,0.738151,0.283617,0.0335891
201,0.737546,0.283013,0.0336287
202,0.742383,0.292685,0.0333122
203,0.741409,0.291711,0.0333593
204,0.741409,0.283608,0.0334266
205,0.740714,0.282913,0.03347
206,0.740057,0.282257,0.033512
207,0.739438,0.281637,0.0335527
208,0.74428,0.291321,0.0332323
209,0.748954,0.30067,0.0330657
210,0.753466,0.309693,0.0330379
211,0.751711,0.307939,0.0330617
212,0.750055,0.306282,0.033091
213,0.74849,0.304717,0.0331248
214,0.74849,0.296253,0.0330566
215,0.753066,0.305406,0.0329758
216,0.751442,0.303781,0.0330086
217,0.749908,0.302247,0.0330454
218,0.749908,0.293852,0.0329922
219,0.749908,0.285689,0.0330081
220,0.754621,0.295116,0.0328119
221,0.754621,0.286918,0.0327983
222,0.759285,0.296245,0.0326489
223,0.763786,0.305248,0.0326371
224,0.761869,0.303331,0.0326582
225,0.761869,0.294905,0.0325454
226,0.761869,0.286713,0.0325038
227,0.761869,0.278749,0.0325277
228,0.76074,0.27762,0.0325858
229,0.76549,0.287121,0.0323658
230,0.770076,0.296291,0.0322907
231,0.774502,0.305143,0.0323462
232,0.772289,0.302931,0.0323499
233,0.776608,0.311567,0.0324877
234,0.776608,0.302913,0.0322378
235,0.774399,0.300704,0.0322446
236,0.772313,0.298618,0.0322618
237,0.772313,0.290323,0.032146
238,0.776806,0.299309,0.0321505
239,0.774692,0.297195,0.0321678
240,0.772695,0.295198,0.0321941
241,0.772695,0.286998,0.0321057
242,0.777232,0.296072,0.0320756
243,0.781611,0.304831,0.0321719
244,0.77921,0.30243,0.0321619
245,0.783487,0.310984,0.0323345
246,0.787616,0.319242,0.0326124
247,0.791601,0.327213,0.0329844
248,0.795448,0.334907,0.0334402
249,0.795448,0.325604,0.0328698
250,0.799291,0.333289,0.0333305
251,0.803,0.340708,0.0338651
252,0.799008,0.336716,0.0335631
253,0.802672,0.344043,0.0341204
254,0.802672,0.334486,0.0334139
255,0.802672,0.325195,0.0328145
