iteration,cost,log(cost)
1,0.2375,-1.43759
10000,0.351326,-1.04604
19999,0.2125,-1.54881
29998,0.328358,-1.11365
39997,0.238826,-1.43202
49996,0.227737,-1.47956
59995,0.238206,-1.43462
69994,0.440152,-0.820634
79993,0.365152,-1.00744
89992,0.363826,-1.01108
99991,0.350706,-1.04781
109990,0.413206,-0.88381
119989,0.325706,-1.12176
129988,0.2,-1.60944
139987,0.213911,-1.54219
149986,0.238206,-1.43462
159985,0.227032,-1.48267
169984,0.300706,-1.20162
179983,0.2125,-1.54881
189982,0.276326,-1.28617
199981,0.302652,-1.19517
209980,0.351326,-1.04604
219979,0.375706,-0.978949
229978,0.416564,-0.875716
239977,0.250706,-1.38348
249976,0.364532,-1.00914
259975,0.338206,-1.0841
269974,0.4,-0.916291
279973,0.350706,-1.04781
289972,0.288911,-1.24164
299971,0.350706,-1.04781
309970,0.289532,-1.23949
319969,0.238206,-1.43462
329968,0.225,-1.49165
339967,0.340858,-1.07629
349966,0.351326,-1.04604
359965,0.2,-1.60944
369964,0.265858,-1.32479
379963,0.351326,-1.04604
389962,0.328358,-1.11365
399961,0.302652,-1.19517
409960,0.325706,-1.12176
419959,0.238206,-1.43462
429958,0.374419,-0.982379
439957,0.3375,-1.08619
449956,0.2875,-1.24653
459955,0.428979,-0.846348
469954,0.2125,-1.54881
479953,0.314532,-1.15667
489952,0.3125,-1.16315
499951,0.276326,-1.28617
509950,0.340858,-1.07629
519949,0.440152,-0.820634
529948,0.402652,-0.909681
539947,0.350706,-1.04781
549946,0.238826,-1.43202
559945,0.315858,-1.15246
569944,0.426326,-0.85255
579943,0.238826,-1.43202
589942,0.338826,-1.08227
599941,0.301411,-1.19928
609940,0.413206,-0.88381
619939,0.213206,-1.5455
629938,0.413911,-0.882104
639937,0.328358,-1.11365
649936,0.227737,-1.47956
659935,0.352652,-1.04227
669934,0.375,-0.980829
679933,0.313206,-1.1609
689932,0.213206,-1.5455
699931,0.3,-1.20397
709930,0.402737,-0.90947
719929,0.388826,-0.944623
729928,0.3,-1.20397
739927,0.351326,-1.04604
749926,0.251326,-1.381
759925,0.388826,-0.944623
769924,0.276411,-1.28587
779923,0.277652,-1.28138
789922,0.325706,-1.12176
799921,0.328358,-1.11365
809920,0.351326,-1.04604
819919,0.225,-1.49165
829918,0.426326,-0.85255
839917,0.25,-1.38629
849916,0.325,-1.12393
859915,0.288206,-1.24408
869914,0.2625,-1.3375
879913,0.302032,-1.19722
889912,0.234912,-1.44854
899911,0.375,-0.980829
909910,0.363826,-1.01108
919909,0.35,-1.04982
929908,0.251326,-1.381
939907,0.201411,-1.60241
949906,0.251326,-1.381
959905,0.226411,-1.4854
969904,0.350307,-1.04895
979903,0.313826,-1.15892
989902,0.276411,-1.28587
999901,0.340152,-1.07836
